Pose;Differenzlinear;Differenzrot
1;0,0431;0,4581
2;0,2226;0,1110
3;0,3716;0,0594
4;0,0341;0,3559
5;0,1523;0,6661
6;0,0380;0,1763
7;0,0970;0,6651
8;0,1287;0,6553
9;0,3358;0,1190
10;0,0310;0,6070
11;0,0327;0,3736
12;0,0847;0,3640
13;0,3369;0,3008
14;0,1834;0,4781
15;0,0294;0,1417
16;0,3784;0,2441
17;0,2717;0,1017
18;0,1019;0,4557
19;0,1778;0,1373
20;0,2016;0,4597
21;0,2314;0,1427
22;0,0504;0,1256
23;0,1733;0,5850
24;0,0187;0,2859
25;0,1995;0,5118
;;
Mittelwerte;0,1570;0,3432
Max;0,3784;0,6661
Min;0,0187;0,0594
